115925,1476,021007,0005,1908,015014,0003,64.00,115925,201238,081313,20,5,-5,029,00000
120425,7,5
120925,2,1
121425,2,1
121925,5,4
122425,0,0
122925,12,14
123425,33,33
123925,32,44
124425,19,19
124925,3,3
125425,3,3
125925,6,8
130425,19,20
130925,2,4
131425,2,2
131925,7,9
132425,26,30
132925,16,17
133425,18,27
133925,22,26
134425,31,29
134925,12,13
135425,17,14
135925,22,26
140425,24,37
140925,18,17
141425,7,7
141925,14,14
142425,14,14
142925,29,31
143425,24,29
143925,13,14
144425,7,12
144925,21,21
145425,20,43
145925,19,56
150425,21,27
150925,18,84
151425,24,51
151925,25,42
152425,35,47
152925,19,37
153425,24,32
153925,20,33
154425,32,40
154925,35,40
155425,5,7
155925,15,14
160425,17,26
160925,2,2
161425,18,22
161925,5,6
162425,15,16
162925,17,20
163425,19,17
163925,29,38
164425,28,39
164925,14,25
165425,14,15
165925,11,13
170425,9,9
170925,15,9
171425,15,15
171925,15,11
172425,14,12
172925,14,12
173425,23,24
173925,26,31
174425,10,11
174925,17,22
175425,10,10
175925,1,1
180425,2,1
180925,0,1
181425,0,0
181925,0,0
182425,0,0
182925,2,0
183425,3,4
183925,17,13
184425,21,29
184925,21,34
185425,10,14
185925,25,42
190425,22,29
190925,24,30
191425,20,24
191925,29,30
192425,26,34
192925,41,52
193425,27,31
193925,9,11
194425,3,2
194925,2,2
195425,0,0
195925,2,2
200425,2,2
200925,3,7
201238,6,7
