163214,1731,064547,0014,2674,032719,0004,64.00,163214,093645,170431,20,5,-5
163714,6,12
164214,4,5
164714,11,24
165214,17,26
165714,12,41
170214,23,29
170714,17,21
171214,13,13
171714,14,29
172214,9,22
172714,16,33
173214,12,37
173714,19,31
174214,8,28
174714,11,35
175214,16,36
175714,16,39
180214,18,37
180714,20,38
181214,23,38
181714,12,21
182214,24,47
182714,10,26
183214,13,22
183714,19,30
184214,2,2
184714,0,0
185214,0,0
185714,0,0
190214,6,6
190714,20,24
191214,17,21
191714,14,21
192214,9,12
192714,0,0
193214,4,3
193714,12,14
194214,9,35
194714,21,27
195214,0,0
195714,3,3
200214,7,4
200714,0,0
201214,3,3
201714,10,14
202214,0,0
202714,3,2
203214,4,3
203714,2,4
204214,9,5
204714,0,0
205214,0,0
205714,2,1
210214,12,19
210714,19,25
211214,18,37
211714,13,7
212214,10,31
212714,2,1
213214,11,15
213714,3,7
214214,2,2
214714,11,11
215214,10,12
215714,7,6
220214,10,10
220714,8,10
221214,9,5
221714,24,20
222214,3,1
222714,0,0
223214,0,0
223714,0,0
224214,0,0
224714,0,0
225214,18,25
225714,0,0
230214,6,8
230714,20,35
231214,12,32
231714,16,17
232214,9,7
232714,1,1
233214,17,13
233714,8,8
234214,11,18
234714,11,11
235214,5,6
235714,3,2
000214,7,6
000714,24,26
001214,12,16
001714,4,4
002214,11,17
002714,0,0
003214,0,0
003714,0,0
004214,0,0
004714,0,0
005214,0,0
005714,0,0
010214,0,0
010714,0,0
011214,0,0
011714,0,0
012214,0,0
012714,0,0
013214,0,0
013714,0,0
014214,0,0
014714,0,0
015214,0,0
015714,0,0
020214,0,0
020714,0,0
021214,0,0
021714,0,0
022214,1,3
022714,0,0
023214,0,0
023714,0,0
024214,0,0
024714,0,0
025214,7,16
025714,0,0
030214,7,9
030714,15,16
031214,0,0
031714,0,0
032214,0,0
032714,0,0
033214,0,0
033714,0,0
034214,0,0
034714,0,0
035214,0,0
035714,0,0
040214,0,0
040714,5,5
041214,2,2
041714,0,0
042214,2,1
042714,2,1
043214,2,2
043714,0,0
044214,0,0
044714,0,0
045214,2,1
045714,7,12
050214,11,17
050714,8,11
051214,17,25
051714,19,28
052214,15,26
052714,16,66
053214,18,24
053714,23,40
054214,18,27
054714,17,50
055214,20,25
055714,26,33
060214,18,23
060714,18,35
061214,11,17
061714,11,22
062214,10,16
062714,8,20
063214,3,4
063714,3,13
064214,15,31
064714,18,33
065214,20,28
065714,24,33
070214,16,29
070714,16,23
071214,13,20
071714,6,20
072214,3,3
072714,12,15
073214,27,38
073714,14,18
074214,12,17
074714,12,11
075214,32,33
075714,18,19
080214,12,16
080714,4,6
081214,8,9
081714,16,19
082214,15,25
082714,19,22
083214,11,17
083714,15,18
084214,15,14
084714,22,31
085214,24,34
085714,9,15
090214,10,15
090714,20,27
091214,9,9
091714,3,3
092214,0,0
092714,1,1
093214,14,16
093645,17,21
